====================================================================================================
Running Python 3.10.12 (main, Jan 26 2026, 14:55:28) [GCC 11.4.0]
Running PyTorch 2.10.0+cu128 compiled for CUDA 12.8
Running Triton version 3.6.0
Fri Feb 20 23:44:09 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:04:00.0 Off |                  Off |
| N/A   26C    P0            111W /  700W |    1185MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A           16846      C   /usr/bin/python3                       1176MiB |
+-----------------------------------------------------------------------------------------+

====================================================================================================
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 338, 339, 340, 341, 678, 679, 680, 681, 1018, 1019, 1020, 1021] for warmup
Resetting Model
step:0/1530 val_loss:10.8310 train_time:0ms step_avg:0.03ms
step:1/1530, train_time:0.2ms, step_avg:241.60ms, train loss:151.51,  lr:1.00
step:2/1530, train_time:0.5ms, step_avg:238.16ms, train loss:150.59,  lr:1.00
step:3/1530, train_time:0.7ms, step_avg:237.42ms, train loss:125.11,  lr:1.00
step:4/1530, train_time:0.9ms, step_avg:236.71ms, train loss:122.95,  lr:1.00
step:5/1530, train_time:1.2ms, step_avg:237.13ms, train loss:119.09,  lr:1.00
step:6/1530, train_time:1.4ms, step_avg:237.07ms, train loss:116.39,  lr:1.00
step:7/1530, train_time:1.7ms, step_avg:237.16ms, train loss:111.66,  lr:1.00
step:8/1530, train_time:1.9ms, step_avg:236.73ms, train loss:109.27,  lr:1.00
step:9/1530, train_time:2.1ms, step_avg:236.94ms, train loss:105.78,  lr:1.00
step:10/1530, train_time:2.4ms, step_avg:236.98ms, train loss:104.23,  lr:1.00
step:11/1530, train_time:2.6ms, step_avg:237.02ms, train loss:104.23,  lr:1.00
step:12/1530, train_time:2.8ms, step_avg:236.82ms, train loss:103.45,  lr:1.00
step:13/1530, train_time:3.1ms, step_avg:236.87ms, train loss:101.26,  lr:1.00
step:14/1530, train_time:3.3ms, step_avg:236.83ms, train loss:100.40,  lr:1.00
step:15/1530, train_time:3.6ms, step_avg:236.97ms, train loss:99.91,  lr:1.00
step:16/1530, train_time:3.8ms, step_avg:236.85ms, train loss:99.37,  lr:1.00
step:17/1530, train_time:4.0ms, step_avg:236.89ms, train loss:99.18,  lr:1.00
step:18/1530, train_time:4.3ms, step_avg:236.91ms, train loss:98.95,  lr:1.00
step:19/1530, train_time:4.5ms, step_avg:236.90ms, train loss:98.08,  lr:1.00
step:20/1530, train_time:4.7ms, step_avg:236.95ms, train loss:97.45,  lr:1.00
step:21/1530, train_time:5.0ms, step_avg:236.99ms, train loss:96.91,  lr:1.00
step:22/1530, train_time:5.2ms, step_avg:236.93ms, train loss:97.00,  lr:1.00
step:23/1530, train_time:5.4ms, step_avg:236.94ms, train loss:96.83,  lr:1.00
step:24/1530, train_time:5.7ms, step_avg:236.97ms, train loss:96.78,  lr:1.00
step:25/1530, train_time:5.9ms, step_avg:237.00ms, train loss:94.51,  lr:1.00
step:26/1530, train_time:6.2ms, step_avg:237.02ms, train loss:94.78,  lr:1.00
step:27/1530, train_time:6.4ms, step_avg:237.02ms, train loss:94.35,  lr:1.00
step:28/1530, train_time:6.6ms, step_avg:236.97ms, train loss:94.37,  lr:1.00
step:29/1530, train_time:6.9ms, step_avg:236.98ms, train loss:93.01,  lr:1.00
