====================================================================================================
Running Python 3.10.12 (main, Jan 26 2026, 14:55:28) [GCC 11.4.0]
Running PyTorch 2.10.0+cu128 compiled for CUDA 12.8
Running Triton version 3.6.0
Sat Feb 21 12:11:24 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:04:00.0 Off |                  Off |
| N/A   39C    P0            121W /  700W |    1185MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A            5711      C   /usr/bin/python3                       1176MiB |
+-----------------------------------------------------------------------------------------+

====================================================================================================
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 338, 339, 340, 341, 678, 679, 680, 681, 1018, 1019, 1020, 1021] for warmup
Resetting Model
step:0/1220 val_loss:10.8270 train_time:0ms step_avg:0.03ms
step:1/1220, train_time:0.3 secs, step_avg:250.70ms, train loss:151.48,  lr:1.00
step:2/1220, train_time:0.5 secs, step_avg:243.21ms, train loss:150.55,  lr:1.00
step:3/1220, train_time:0.7 secs, step_avg:241.17ms, train loss:124.94,  lr:1.00
step:4/1220, train_time:1.0 secs, step_avg:240.59ms, train loss:122.88,  lr:1.00
step:5/1220, train_time:1.2 secs, step_avg:241.00ms, train loss:119.18,  lr:1.00
step:6/1220, train_time:1.4 secs, step_avg:240.85ms, train loss:116.39,  lr:1.00
step:7/1220, train_time:1.7 secs, step_avg:240.56ms, train loss:111.89,  lr:1.00
step:8/1220, train_time:1.9 secs, step_avg:240.21ms, train loss:109.16,  lr:1.00
step:9/1220, train_time:2.2 secs, step_avg:240.48ms, train loss:105.72,  lr:1.00
step:10/1220, train_time:2.4 secs, step_avg:240.15ms, train loss:104.08,  lr:1.00
step:11/1220, train_time:2.6 secs, step_avg:239.98ms, train loss:104.05,  lr:1.00
step:12/1220, train_time:2.9 secs, step_avg:239.73ms, train loss:103.49,  lr:1.00
step:13/1220, train_time:3.1 secs, step_avg:239.79ms, train loss:101.27,  lr:1.00
step:14/1220, train_time:3.4 secs, step_avg:239.75ms, train loss:100.44,  lr:1.00
step:15/1220, train_time:3.6 secs, step_avg:239.80ms, train loss:99.89,  lr:1.00
step:16/1220, train_time:3.8 secs, step_avg:239.61ms, train loss:99.30,  lr:1.00
step:17/1220, train_time:4.1 secs, step_avg:239.73ms, train loss:99.12,  lr:1.00
step:18/1220, train_time:4.3 secs, step_avg:239.79ms, train loss:98.91,  lr:1.00
step:19/1220, train_time:4.6 secs, step_avg:239.78ms, train loss:97.88,  lr:1.00
step:20/1220, train_time:4.8 secs, step_avg:239.71ms, train loss:97.35,  lr:1.00
step:21/1220, train_time:5.0 secs, step_avg:239.66ms, train loss:96.74,  lr:1.00
step:22/1220, train_time:5.3 secs, step_avg:239.68ms, train loss:96.88,  lr:1.00
step:23/1220, train_time:5.5 secs, step_avg:239.70ms, train loss:96.99,  lr:1.00
step:24/1220, train_time:5.8 secs, step_avg:239.70ms, train loss:96.74,  lr:1.00
step:25/1220, train_time:6.0 secs, step_avg:239.74ms, train loss:94.52,  lr:1.00
step:26/1220, train_time:6.2 secs, step_avg:239.67ms, train loss:94.88,  lr:1.00
step:27/1220, train_time:6.5 secs, step_avg:239.71ms, train loss:94.47,  lr:1.00
step:28/1220, train_time:6.7 secs, step_avg:239.64ms, train loss:94.41,  lr:1.00
step:29/1220, train_time:7.0 secs, step_avg:239.70ms, train loss:92.98,  lr:1.00
step:30/1220, train_time:7.2 secs, step_avg:239.67ms, train loss:93.96,  lr:1.00
step:31/1220, train_time:7.4 secs, step_avg:239.70ms, train loss:92.84,  lr:1.00
step:32/1220, train_time:7.7 secs, step_avg:239.70ms, train loss:92.76,  lr:1.00
step:33/1220, train_time:7.9 secs, step_avg:239.68ms, train loss:93.03,  lr:1.00
step:34/1220, train_time:8.1 secs, step_avg:239.68ms, train loss:91.96,  lr:1.00
step:35/1220, train_time:8.4 secs, step_avg:239.68ms, train loss:91.66,  lr:1.00
step:36/1220, train_time:8.6 secs, step_avg:239.66ms, train loss:91.40,  lr:1.00
step:37/1220, train_time:8.9 secs, step_avg:239.67ms, train loss:89.53,  lr:1.00
step:38/1220, train_time:9.1 secs, step_avg:239.59ms, train loss:90.89,  lr:1.00
step:39/1220, train_time:9.3 secs, step_avg:239.60ms, train loss:90.83,  lr:1.00
step:40/1220, train_time:9.6 secs, step_avg:239.55ms, train loss:89.99,  lr:1.00
step:41/1220, train_time:9.8 secs, step_avg:239.57ms, train loss:89.97,  lr:1.00
step:42/1220, train_time:10.1 secs, step_avg:239.52ms, train loss:88.36,  lr:1.00
step:43/1220, train_time:10.3 secs, step_avg:239.49ms, train loss:89.02,  lr:1.00
step:44/1220, train_time:10.5 secs, step_avg:239.43ms, train loss:88.51,  lr:1.00
step:45/1220, train_time:10.8 secs, step_avg:239.40ms, train loss:88.45,  lr:1.00
step:46/1220, train_time:11.0 secs, step_avg:239.39ms, train loss:87.84,  lr:1.00
step:47/1220, train_time:11.3 secs, step_avg:239.41ms, train loss:88.34,  lr:1.00
step:48/1220, train_time:11.5 secs, step_avg:239.39ms, train loss:87.61,  lr:1.00
