====================================================================================================
Running Python 3.10.12 (main, Jan 26 2026, 14:55:28) [GCC 11.4.0]
Running PyTorch 2.10.0+cu128 compiled for CUDA 12.8
Running Triton version 3.6.0
Fri Feb 20 21:25:30 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:04:00.0 Off |                  Off |
| N/A   37C    P0            118W /  700W |    1185MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A           10759      C   /usr/bin/python3                       1176MiB |
+-----------------------------------------------------------------------------------------+

====================================================================================================
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 495, 496, 497, 498, 991, 992, 993, 994, 1488, 1489, 1490, 1491] for warmup
Resetting Model
step:0/1530 val_loss:10.8321 train_time:0ms step_avg:0.03ms
step:1/1530, train_time:256ms, step_avg:255.82ms, train loss:18.9413,  lr:1.0
step:2/1530, train_time:493ms, step_avg:246.69ms, train loss:18.8306,  lr:1.0
step:3/1530, train_time:732ms, step_avg:244.08ms, train loss:15.6111,  lr:1.0
step:4/1530, train_time:968ms, step_avg:241.91ms, train loss:15.3520,  lr:1.0
step:5/1530, train_time:1207ms, step_avg:241.44ms, train loss:14.9147,  lr:1.0
step:6/1530, train_time:1444ms, step_avg:240.74ms, train loss:14.5529,  lr:1.0
step:7/1530, train_time:1683ms, step_avg:240.37ms, train loss:14.0223,  lr:1.0
step:8/1530, train_time:1921ms, step_avg:240.07ms, train loss:13.6579,  lr:1.0
step:9/1530, train_time:2161ms, step_avg:240.14ms, train loss:13.2460,  lr:1.0
step:10/1530, train_time:2400ms, step_avg:240.00ms, train loss:13.0667,  lr:1.0
step:11/1530, train_time:2638ms, step_avg:239.86ms, train loss:13.0443,  lr:1.0
step:12/1530, train_time:2876ms, step_avg:239.67ms, train loss:12.9591,  lr:1.0
step:13/1530, train_time:3116ms, step_avg:239.73ms, train loss:12.6850,  lr:1.0
step:14/1530, train_time:3358ms, step_avg:239.87ms, train loss:12.5823,  lr:1.0
step:15/1530, train_time:3599ms, step_avg:239.92ms, train loss:12.5276,  lr:1.0
step:16/1530, train_time:3836ms, step_avg:239.74ms, train loss:12.4546,  lr:1.0
step:17/1530, train_time:4076ms, step_avg:239.76ms, train loss:12.4327,  lr:1.0
step:18/1530, train_time:4315ms, step_avg:239.72ms, train loss:12.4083,  lr:1.0
step:19/1530, train_time:4555ms, step_avg:239.74ms, train loss:12.2812,  lr:1.0
step:20/1530, train_time:4794ms, step_avg:239.68ms, train loss:12.2319,  lr:1.0
step:21/1530, train_time:5033ms, step_avg:239.66ms, train loss:12.1627,  lr:1.0
step:22/1530, train_time:5271ms, step_avg:239.59ms, train loss:12.1797,  lr:1.0
step:23/1530, train_time:5511ms, step_avg:239.61ms, train loss:12.1525,  lr:1.0
step:24/1530, train_time:5748ms, step_avg:239.49ms, train loss:12.1350,  lr:1.0
step:25/1530, train_time:5986ms, step_avg:239.43ms, train loss:11.8437,  lr:1.0
step:26/1530, train_time:6226ms, step_avg:239.44ms, train loss:11.8953,  lr:1.0
step:27/1530, train_time:6464ms, step_avg:239.42ms, train loss:11.8613,  lr:1.0
step:28/1530, train_time:6703ms, step_avg:239.38ms, train loss:11.8604,  lr:1.0
step:29/1530, train_time:6942ms, step_avg:239.39ms, train loss:11.6904,  lr:1.0
step:30/1530, train_time:7185ms, step_avg:239.49ms, train loss:11.8015,  lr:1.0
step:31/1530, train_time:7425ms, step_avg:239.53ms, train loss:11.6696,  lr:1.0
step:32/1530, train_time:7663ms, step_avg:239.47ms, train loss:11.6605,  lr:1.0
step:33/1530, train_time:7902ms, step_avg:239.46ms, train loss:11.6783,  lr:1.0
step:34/1530, train_time:8139ms, step_avg:239.40ms, train loss:11.5722,  lr:1.0
step:35/1530, train_time:8380ms, step_avg:239.42ms, train loss:11.5548,  lr:1.0
step:36/1530, train_time:8619ms, step_avg:239.41ms, train loss:11.5098,  lr:1.0
step:37/1530, train_time:8857ms, step_avg:239.39ms, train loss:11.2699,  lr:1.0
step:38/1530, train_time:9095ms, step_avg:239.35ms, train loss:11.4613,  lr:1.0
step:39/1530, train_time:9335ms, step_avg:239.37ms, train loss:11.4553,  lr:1.0
step:40/1530, train_time:9574ms, step_avg:239.36ms, train loss:11.3365,  lr:1.0
step:41/1530, train_time:9815ms, step_avg:239.39ms, train loss:11.3339,  lr:1.0
step:42/1530, train_time:10053ms, step_avg:239.35ms, train loss:11.1314,  lr:1.0
step:43/1530, train_time:10293ms, step_avg:239.37ms, train loss:11.2136,  lr:1.0
step:44/1530, train_time:10531ms, step_avg:239.34ms, train loss:11.1651,  lr:1.0
step:45/1530, train_time:10772ms, step_avg:239.37ms, train loss:11.1594,  lr:1.0
step:46/1530, train_time:11011ms, step_avg:239.37ms, train loss:11.0800,  lr:1.0
step:47/1530, train_time:11250ms, step_avg:239.37ms, train loss:11.1453,  lr:1.0
step:48/1530, train_time:11489ms, step_avg:239.35ms, train loss:11.0583,  lr:1.0
step:49/1530, train_time:11727ms, step_avg:239.32ms, train loss:11.1518,  lr:1.0
step:50/1530, train_time:11966ms, step_avg:239.31ms, train loss:10.9513,  lr:1.0
step:50/1530 val_loss:5.7690 train_time:11980ms step_avg:239.60ms
