====================================================================================================
Running Python 3.10.12 (main, Jan 26 2026, 14:55:28) [GCC 11.4.0]
Running PyTorch 2.10.0+cu128 compiled for CUDA 12.8
Running Triton version 3.6.0
Sat Feb 21 00:38:14 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:04:00.0 Off |                  Off |
| N/A   26C    P0            112W /  700W |    1185MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A           19229      C   /usr/bin/python3                       1176MiB |
+-----------------------------------------------------------------------------------------+

====================================================================================================
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 338, 339, 340, 341, 678, 679, 680, 681, 1018, 1019, 1020, 1021] for warmup
Resetting Model
step:0/1220 val_loss:10.8296 train_time:0ms step_avg:0.03ms
step:1/1220, train_time:0.2 secs, step_avg:242.89ms, train loss:151.51,  lr:1.00
step:2/1220, train_time:0.5 secs, step_avg:238.59ms, train loss:150.62,  lr:1.00
step:3/1220, train_time:0.7 secs, step_avg:237.98ms, train loss:125.01,  lr:1.00
step:4/1220, train_time:0.9 secs, step_avg:237.16ms, train loss:122.87,  lr:1.00
step:5/1220, train_time:1.2 secs, step_avg:237.89ms, train loss:119.26,  lr:1.00
step:6/1220, train_time:1.4 secs, step_avg:237.73ms, train loss:116.49,  lr:1.00
step:7/1220, train_time:1.7 secs, step_avg:237.73ms, train loss:111.91,  lr:1.00
step:8/1220, train_time:1.9 secs, step_avg:237.40ms, train loss:109.18,  lr:1.00
step:9/1220, train_time:2.1 secs, step_avg:237.56ms, train loss:105.62,  lr:1.00
step:10/1220, train_time:2.4 secs, step_avg:237.66ms, train loss:104.16,  lr:1.00
step:11/1220, train_time:2.6 secs, step_avg:237.79ms, train loss:104.10,  lr:1.00
step:12/1220, train_time:2.9 secs, step_avg:237.75ms, train loss:103.46,  lr:1.00
step:13/1220, train_time:3.1 secs, step_avg:237.68ms, train loss:101.30,  lr:1.00
step:14/1220, train_time:3.3 secs, step_avg:237.67ms, train loss:100.40,  lr:1.00
step:15/1220, train_time:3.6 secs, step_avg:237.62ms, train loss:99.91,  lr:1.00
step:16/1220, train_time:3.8 secs, step_avg:237.58ms, train loss:99.36,  lr:1.00
step:17/1220, train_time:4.0 secs, step_avg:237.63ms, train loss:99.31,  lr:1.00
step:18/1220, train_time:4.3 secs, step_avg:237.56ms, train loss:98.98,  lr:1.00
step:19/1220, train_time:4.5 secs, step_avg:237.61ms, train loss:98.03,  lr:1.00
step:20/1220, train_time:4.8 secs, step_avg:237.53ms, train loss:97.46,  lr:1.00
step:21/1220, train_time:5.0 secs, step_avg:237.51ms, train loss:96.93,  lr:1.00
step:22/1220, train_time:5.2 secs, step_avg:237.44ms, train loss:97.00,  lr:1.00
step:23/1220, train_time:5.5 secs, step_avg:237.43ms, train loss:96.85,  lr:1.00
step:24/1220, train_time:5.7 secs, step_avg:237.44ms, train loss:96.81,  lr:1.00
step:25/1220, train_time:5.9 secs, step_avg:237.55ms, train loss:94.53,  lr:1.00
step:26/1220, train_time:6.2 secs, step_avg:237.51ms, train loss:94.94,  lr:1.00
step:27/1220, train_time:6.4 secs, step_avg:237.51ms, train loss:94.58,  lr:1.00
step:28/1220, train_time:6.6 secs, step_avg:237.48ms, train loss:94.58,  lr:1.00
step:29/1220, train_time:6.9 secs, step_avg:237.45ms, train loss:93.19,  lr:1.00
step:30/1220, train_time:7.1 secs, step_avg:237.40ms, train loss:94.05,  lr:1.00
step:31/1220, train_time:7.4 secs, step_avg:237.44ms, train loss:92.87,  lr:1.00
step:32/1220, train_time:7.6 secs, step_avg:237.41ms, train loss:92.84,  lr:1.00
step:33/1220, train_time:7.8 secs, step_avg:237.47ms, train loss:93.03,  lr:1.00
step:34/1220, train_time:8.1 secs, step_avg:237.46ms, train loss:92.08,  lr:1.00
step:35/1220, train_time:8.3 secs, step_avg:237.43ms, train loss:91.91,  lr:1.00
step:36/1220, train_time:8.5 secs, step_avg:237.42ms, train loss:91.59,  lr:1.00
step:37/1220, train_time:8.8 secs, step_avg:237.43ms, train loss:89.78,  lr:1.00
step:38/1220, train_time:9.0 secs, step_avg:237.47ms, train loss:91.07,  lr:1.00
step:39/1220, train_time:9.3 secs, step_avg:237.49ms, train loss:90.91,  lr:1.00
step:40/1220, train_time:9.5 secs, step_avg:237.45ms, train loss:90.14,  lr:1.00
step:41/1220, train_time:9.7 secs, step_avg:237.50ms, train loss:90.21,  lr:1.00
step:42/1220, train_time:10.0 secs, step_avg:237.47ms, train loss:88.53,  lr:1.00
step:43/1220, train_time:10.2 secs, step_avg:237.44ms, train loss:89.28,  lr:1.00
step:44/1220, train_time:10.4 secs, step_avg:237.41ms, train loss:88.72,  lr:1.00
step:45/1220, train_time:10.7 secs, step_avg:237.42ms, train loss:88.59,  lr:1.00
step:46/1220, train_time:10.9 secs, step_avg:237.43ms, train loss:88.00,  lr:1.00
step:47/1220, train_time:11.2 secs, step_avg:237.46ms, train loss:88.41,  lr:1.00
step:48/1220, train_time:11.4 secs, step_avg:237.45ms, train loss:87.70,  lr:1.00
step:49/1220, train_time:11.6 secs, step_avg:237.45ms, train loss:88.36,  lr:1.00
step:50/1220, train_time:11.9 secs, step_avg:237.45ms, train loss:86.81,  lr:1.00
step:50/1220 val_loss:5.7683 train_time:11892ms step_avg:237.85ms
step:51/1220, train_time:12.1 secs, step_avg:237.50ms, train loss:86.61,  lr:1.00
step:52/1220, train_time:12.3 secs, step_avg:237.48ms, train loss:87.24,  lr:1.00
step:53/1220, train_time:12.6 secs, step_avg:237.54ms, train loss:86.46,  lr:1.00
step:54/1220, train_time:12.8 secs, step_avg:237.52ms, train loss:86.57,  lr:1.00
step:55/1220, train_time:13.1 secs, step_avg:237.55ms, train loss:85.70,  lr:1.00
step:56/1220, train_time:13.3 secs, step_avg:237.51ms, train loss:86.13,  lr:1.00
step:57/1220, train_time:13.5 secs, step_avg:237.53ms, train loss:86.26,  lr:1.00
step:58/1220, train_time:13.8 secs, step_avg:237.51ms, train loss:84.36,  lr:1.00
step:59/1220, train_time:14.0 secs, step_avg:237.50ms, train loss:85.76,  lr:1.00
step:60/1220, train_time:14.2 secs, step_avg:237.47ms, train loss:84.76,  lr:1.00
step:61/1220, train_time:14.5 secs, step_avg:237.51ms, train loss:84.09,  lr:1.00
step:62/1220, train_time:14.7 secs, step_avg:237.48ms, train loss:84.18,  lr:1.00
step:63/1220, train_time:15.0 secs, step_avg:237.47ms, train loss:84.32,  lr:1.00
step:64/1220, train_time:15.2 secs, step_avg:237.44ms, train loss:84.23,  lr:1.00
step:65/1220, train_time:15.4 secs, step_avg:237.44ms, train loss:83.97,  lr:1.00
step:66/1220, train_time:15.7 secs, step_avg:237.43ms, train loss:83.62,  lr:1.00
step:67/1220, train_time:15.9 secs, step_avg:237.45ms, train loss:83.64,  lr:1.00
step:68/1220, train_time:16.1 secs, step_avg:237.43ms, train loss:83.37,  lr:1.00
step:69/1220, train_time:16.4 secs, step_avg:237.43ms, train loss:82.48,  lr:1.00
step:70/1220, train_time:16.6 secs, step_avg:237.44ms, train loss:82.53,  lr:1.00
step:71/1220, train_time:16.9 secs, step_avg:237.45ms, train loss:82.67,  lr:1.00
step:72/1220, train_time:17.1 secs, step_avg:237.41ms, train loss:82.41,  lr:1.00
step:73/1220, train_time:17.3 secs, step_avg:237.42ms, train loss:81.53,  lr:1.00
step:74/1220, train_time:17.6 secs, step_avg:237.42ms, train loss:81.89,  lr:1.00
step:75/1220, train_time:17.8 secs, step_avg:237.44ms, train loss:82.16,  lr:1.00
step:76/1220, train_time:18.0 secs, step_avg:237.45ms, train loss:81.37,  lr:1.00
step:77/1220, train_time:18.3 secs, step_avg:237.43ms, train loss:81.86,  lr:1.00
step:78/1220, train_time:18.5 secs, step_avg:237.41ms, train loss:80.95,  lr:1.00
step:79/1220, train_time:18.8 secs, step_avg:237.41ms, train loss:81.32,  lr:1.00
step:80/1220, train_time:19.0 secs, step_avg:237.39ms, train loss:81.27,  lr:1.00
step:81/1220, train_time:19.2 secs, step_avg:237.39ms, train loss:80.85,  lr:1.00
step:82/1220, train_time:19.5 secs, step_avg:237.37ms, train loss:81.33,  lr:1.00
step:83/1220, train_time:19.7 secs, step_avg:237.39ms, train loss:79.84,  lr:1.00
step:84/1220, train_time:19.9 secs, step_avg:237.37ms, train loss:79.51,  lr:1.00
step:85/1220, train_time:20.2 secs, step_avg:237.39ms, train loss:80.62,  lr:1.00
step:86/1220, train_time:20.4 secs, step_avg:237.37ms, train loss:79.77,  lr:1.00
step:87/1220, train_time:20.7 secs, step_avg:237.38ms, train loss:80.07,  lr:1.00
step:88/1220, train_time:20.9 secs, step_avg:237.37ms, train loss:79.22,  lr:1.00
step:89/1220, train_time:21.1 secs, step_avg:237.38ms, train loss:79.23,  lr:1.00
step:90/1220, train_time:21.4 secs, step_avg:237.36ms, train loss:79.09,  lr:1.00
step:91/1220, train_time:21.6 secs, step_avg:237.36ms, train loss:79.25,  lr:1.00
step:92/1220, train_time:21.8 secs, step_avg:237.35ms, train loss:79.44,  lr:1.00
step:93/1220, train_time:22.1 secs, step_avg:237.35ms, train loss:79.06,  lr:1.00
step:94/1220, train_time:22.3 secs, step_avg:237.33ms, train loss:78.12,  lr:1.00
