====================================================================================================
Running Python 3.10.12 (main, Jan 26 2026, 14:55:28) [GCC 11.4.0]
Running PyTorch 2.10.0+cu128 compiled for CUDA 12.8
Running Triton version 3.6.0
Sat Feb 21 16:08:06 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:04:00.0 Off |                  Off |
| N/A   32C    P0            116W /  700W |    1185MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A           14175      C   /usr/bin/python3                       1176MiB |
+-----------------------------------------------------------------------------------------+

====================================================================================================
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 148, 149, 150, 151, 298, 299, 300, 301, 448, 449, 450, 451] for warmup
Resetting Model
step:0/490 val_loss:10.8285 train_time:0ms step_avg:0.03ms
step:1/490, train_time:0.3 secs, step_avg:251.77ms, train loss:151.49,  lr:1.00
step:2/490, train_time:0.5 secs, step_avg:243.44ms, train loss:150.46,  lr:1.00
step:3/490, train_time:0.7 secs, step_avg:241.24ms, train loss:124.86,  lr:1.00
step:4/490, train_time:1.0 secs, step_avg:240.08ms, train loss:122.72,  lr:1.00
step:5/490, train_time:1.2 secs, step_avg:240.80ms, train loss:118.57,  lr:1.00
step:6/490, train_time:1.4 secs, step_avg:240.65ms, train loss:115.92,  lr:1.00
step:7/490, train_time:1.7 secs, step_avg:240.25ms, train loss:111.56,  lr:1.00
step:8/490, train_time:1.9 secs, step_avg:239.97ms, train loss:108.65,  lr:1.00
step:9/490, train_time:2.2 secs, step_avg:240.12ms, train loss:105.44,  lr:1.00
step:10/490, train_time:2.4 secs, step_avg:240.04ms, train loss:103.78,  lr:1.00
step:11/490, train_time:2.6 secs, step_avg:240.01ms, train loss:103.56,  lr:1.00
step:12/490, train_time:2.9 secs, step_avg:239.83ms, train loss:102.77,  lr:1.00
step:13/490, train_time:3.1 secs, step_avg:239.90ms, train loss:100.51,  lr:1.00
step:14/490, train_time:3.4 secs, step_avg:239.85ms, train loss:99.65,  lr:1.00
step:15/490, train_time:3.6 secs, step_avg:239.85ms, train loss:99.16,  lr:1.00
step:16/490, train_time:3.8 secs, step_avg:239.83ms, train loss:98.46,  lr:1.00
step:17/490, train_time:4.1 secs, step_avg:239.89ms, train loss:98.25,  lr:1.00
step:18/490, train_time:4.3 secs, step_avg:239.99ms, train loss:98.04,  lr:1.00
step:19/490, train_time:4.6 secs, step_avg:239.96ms, train loss:97.09,  lr:1.00
step:20/490, train_time:4.8 secs, step_avg:239.88ms, train loss:96.50,  lr:1.00
step:21/490, train_time:5.0 secs, step_avg:239.91ms, train loss:95.91,  lr:1.00
step:22/490, train_time:5.3 secs, step_avg:239.97ms, train loss:95.78,  lr:1.00
step:23/490, train_time:5.5 secs, step_avg:239.94ms, train loss:95.48,  lr:1.00
step:24/490, train_time:5.8 secs, step_avg:239.88ms, train loss:95.44,  lr:1.00
step:25/490, train_time:6.0 secs, step_avg:239.93ms, train loss:93.14,  lr:1.00
step:26/490, train_time:6.2 secs, step_avg:239.99ms, train loss:93.37,  lr:1.00
step:27/490, train_time:6.5 secs, step_avg:239.99ms, train loss:92.88,  lr:1.00
step:28/490, train_time:6.7 secs, step_avg:239.84ms, train loss:92.84,  lr:1.00
step:29/490, train_time:7.0 secs, step_avg:239.86ms, train loss:91.40,  lr:1.00
step:30/490, train_time:7.2 secs, step_avg:239.88ms, train loss:92.31,  lr:1.00
step:31/490, train_time:7.4 secs, step_avg:239.89ms, train loss:91.17,  lr:1.00
step:32/490, train_time:7.7 secs, step_avg:239.86ms, train loss:91.00,  lr:1.00
step:33/490, train_time:7.9 secs, step_avg:239.86ms, train loss:91.11,  lr:1.00
step:34/490, train_time:8.2 secs, step_avg:239.90ms, train loss:90.14,  lr:1.00
step:35/490, train_time:8.4 secs, step_avg:239.92ms, train loss:89.93,  lr:1.00
step:36/490, train_time:8.6 secs, step_avg:239.94ms, train loss:89.56,  lr:1.00
step:37/490, train_time:8.9 secs, step_avg:239.93ms, train loss:87.81,  lr:1.00
step:38/490, train_time:9.1 secs, step_avg:239.95ms, train loss:88.94,  lr:1.00
step:39/490, train_time:9.4 secs, step_avg:239.93ms, train loss:88.77,  lr:1.00
step:40/490, train_time:9.6 secs, step_avg:239.92ms, train loss:87.94,  lr:1.00
step:41/490, train_time:9.8 secs, step_avg:239.95ms, train loss:87.81,  lr:1.00
step:42/490, train_time:10.1 secs, step_avg:239.95ms, train loss:86.13,  lr:1.00
step:43/490, train_time:10.3 secs, step_avg:239.94ms, train loss:86.74,  lr:1.00
step:44/490, train_time:10.6 secs, step_avg:239.91ms, train loss:86.21,  lr:1.00
step:45/490, train_time:10.8 secs, step_avg:239.93ms, train loss:86.04,  lr:1.00
step:46/490, train_time:11.0 secs, step_avg:239.95ms, train loss:85.41,  lr:1.00
step:47/490, train_time:11.3 secs, step_avg:239.98ms, train loss:85.75,  lr:1.00
step:48/490, train_time:11.5 secs, step_avg:239.96ms, train loss:85.00,  lr:1.00
step:49/490, train_time:11.8 secs, step_avg:239.93ms, train loss:85.69,  lr:1.00
step:50/490, train_time:12.0 secs, step_avg:239.93ms, train loss:84.16,  lr:1.00
step:50/490 val_loss:5.7816 train_time:12010ms step_avg:240.21ms
step:51/490, train_time:12.2 secs, step_avg:239.96ms, train loss:83.95,  lr:1.00
step:52/490, train_time:12.5 secs, step_avg:239.92ms, train loss:84.39,  lr:1.00
step:53/490, train_time:12.7 secs, step_avg:239.88ms, train loss:83.50,  lr:1.00
step:54/490, train_time:13.0 secs, step_avg:239.94ms, train loss:83.73,  lr:1.00
step:55/490, train_time:13.2 secs, step_avg:239.96ms, train loss:82.81,  lr:1.00
step:56/490, train_time:13.4 secs, step_avg:239.93ms, train loss:83.08,  lr:1.00
step:57/490, train_time:13.7 secs, step_avg:239.93ms, train loss:82.97,  lr:1.00
step:58/490, train_time:13.9 secs, step_avg:239.93ms, train loss:81.16,  lr:1.00
step:59/490, train_time:14.2 secs, step_avg:239.94ms, train loss:82.28,  lr:1.00
step:60/490, train_time:14.4 secs, step_avg:239.91ms, train loss:81.33,  lr:1.00
step:61/490, train_time:14.6 secs, step_avg:239.88ms, train loss:80.70,  lr:1.00
step:62/490, train_time:14.9 secs, step_avg:239.86ms, train loss:80.73,  lr:1.00
step:63/490, train_time:15.1 secs, step_avg:239.89ms, train loss:80.93,  lr:1.00
step:64/490, train_time:15.4 secs, step_avg:239.88ms, train loss:80.82,  lr:1.00
step:65/490, train_time:15.6 secs, step_avg:239.91ms, train loss:80.50,  lr:1.00
step:66/490, train_time:15.8 secs, step_avg:239.89ms, train loss:80.07,  lr:1.00
step:67/490, train_time:16.1 secs, step_avg:239.90ms, train loss:79.98,  lr:1.00
step:68/490, train_time:16.3 secs, step_avg:239.89ms, train loss:79.65,  lr:1.00
step:69/490, train_time:16.6 secs, step_avg:239.89ms, train loss:78.74,  lr:1.00
step:70/490, train_time:16.8 secs, step_avg:239.87ms, train loss:78.70,  lr:1.00
step:71/490, train_time:17.0 secs, step_avg:239.89ms, train loss:78.68,  lr:1.00
step:72/490, train_time:17.3 secs, step_avg:239.91ms, train loss:78.54,  lr:1.00
step:73/490, train_time:17.5 secs, step_avg:239.91ms, train loss:77.67,  lr:1.00
step:74/490, train_time:17.8 secs, step_avg:239.88ms, train loss:77.84,  lr:1.00
step:75/490, train_time:18.0 secs, step_avg:239.87ms, train loss:78.01,  lr:1.00
step:76/490, train_time:18.2 secs, step_avg:239.87ms, train loss:77.35,  lr:1.00
step:77/490, train_time:18.5 secs, step_avg:239.90ms, train loss:77.64,  lr:1.00
