====================================================================================================
Running Python 3.10.12 (main, Jan 26 2026, 14:55:28) [GCC 11.4.0]
Running PyTorch 2.10.0+cu128 compiled for CUDA 12.8
Running Triton version 3.6.0
Fri Feb 20 21:15:24 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:04:00.0 Off |                  Off |
| N/A   38C    P0            118W /  700W |    1185MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A            9907      C   /usr/bin/python3                       1176MiB |
+-----------------------------------------------------------------------------------------+

====================================================================================================
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 495, 496, 497, 498, 991, 992, 993, 994, 1488, 1489, 1490, 1491] for warmup
Resetting Model
step:0/1530 val_loss:10.8303 train_time:0ms step_avg:0.03ms
step:1/1530, train_time:245ms, step_avg:245.17ms, train loss:310304.2070,  lr:1.0
step:2/1530, train_time:480ms, step_avg:239.81ms, train loss:308443.5117,  lr:1.0
step:3/1530, train_time:716ms, step_avg:238.68ms, train loss:256010.5605,  lr:1.0
step:4/1530, train_time:951ms, step_avg:237.84ms, train loss:251723.1758,  lr:1.0
step:5/1530, train_time:1193ms, step_avg:238.53ms, train loss:244187.9414,  lr:1.0
step:6/1530, train_time:1432ms, step_avg:238.72ms, train loss:238622.5820,  lr:1.0
step:7/1530, train_time:1669ms, step_avg:238.50ms, train loss:229389.7598,  lr:1.0
step:8/1530, train_time:1906ms, step_avg:238.28ms, train loss:223743.7930,  lr:1.0
step:9/1530, train_time:2146ms, step_avg:238.45ms, train loss:216737.6836,  lr:1.0
step:10/1530, train_time:2381ms, step_avg:238.14ms, train loss:213508.6309,  lr:1.0
step:11/1530, train_time:2620ms, step_avg:238.19ms, train loss:213843.4355,  lr:1.0
step:12/1530, train_time:2856ms, step_avg:237.97ms, train loss:212169.8984,  lr:1.0
step:13/1530, train_time:3093ms, step_avg:237.94ms, train loss:207872.1094,  lr:1.0
step:14/1530, train_time:3332ms, step_avg:237.99ms, train loss:206044.0703,  lr:1.0
step:15/1530, train_time:3572ms, step_avg:238.12ms, train loss:205327.7480,  lr:1.0
step:16/1530, train_time:3809ms, step_avg:238.06ms, train loss:204019.5723,  lr:1.0
step:17/1530, train_time:4046ms, step_avg:237.99ms, train loss:203563.2285,  lr:1.0
step:18/1530, train_time:4282ms, step_avg:237.91ms, train loss:203424.9434,  lr:1.0
step:19/1530, train_time:4521ms, step_avg:237.97ms, train loss:201881.0449,  lr:1.0
step:20/1530, train_time:4758ms, step_avg:237.89ms, train loss:200390.7422,  lr:1.0
step:21/1530, train_time:4995ms, step_avg:237.87ms, train loss:199286.5371,  lr:1.0
step:22/1530, train_time:5234ms, step_avg:237.92ms, train loss:199444.1309,  lr:1.0
step:23/1530, train_time:5474ms, step_avg:238.01ms, train loss:198945.8281,  lr:1.0
step:24/1530, train_time:5711ms, step_avg:237.95ms, train loss:198930.6699,  lr:1.0
step:25/1530, train_time:5949ms, step_avg:237.94ms, train loss:194293.2500,  lr:1.0
step:26/1530, train_time:6186ms, step_avg:237.91ms, train loss:195020.0156,  lr:1.0
step:27/1530, train_time:6424ms, step_avg:237.93ms, train loss:194381.5098,  lr:1.0
step:28/1530, train_time:6659ms, step_avg:237.84ms, train loss:194264.0938,  lr:1.0
step:29/1530, train_time:6896ms, step_avg:237.81ms, train loss:191493.0957,  lr:1.0
step:30/1530, train_time:7133ms, step_avg:237.76ms, train loss:193411.6543,  lr:1.0
step:31/1530, train_time:7370ms, step_avg:237.75ms, train loss:191315.0039,  lr:1.0
step:32/1530, train_time:7607ms, step_avg:237.72ms, train loss:191117.4707,  lr:1.0
step:33/1530, train_time:7846ms, step_avg:237.77ms, train loss:191477.5391,  lr:1.0
step:34/1530, train_time:8084ms, step_avg:237.77ms, train loss:189604.9023,  lr:1.0
step:35/1530, train_time:8323ms, step_avg:237.79ms, train loss:189201.0488,  lr:1.0
step:36/1530, train_time:8558ms, step_avg:237.73ms, train loss:188555.6973,  lr:1.0
step:37/1530, train_time:8795ms, step_avg:237.70ms, train loss:184799.5527,  lr:1.0
step:38/1530, train_time:9032ms, step_avg:237.69ms, train loss:187568.5234,  lr:1.0
step:39/1530, train_time:9271ms, step_avg:237.71ms, train loss:187271.0234,  lr:1.0
step:40/1530, train_time:9507ms, step_avg:237.67ms, train loss:185799.5566,  lr:1.0
step:41/1530, train_time:9744ms, step_avg:237.67ms, train loss:185909.9922,  lr:1.0
step:42/1530, train_time:9981ms, step_avg:237.64ms, train loss:182410.5977,  lr:1.0
step:43/1530, train_time:10219ms, step_avg:237.65ms, train loss:183860.1562,  lr:1.0
step:44/1530, train_time:10454ms, step_avg:237.59ms, train loss:182897.3828,  lr:1.0
step:45/1530, train_time:10690ms, step_avg:237.56ms, train loss:182624.8340,  lr:1.0
step:46/1530, train_time:10927ms, step_avg:237.55ms, train loss:181365.6367,  lr:1.0
step:47/1530, train_time:11166ms, step_avg:237.58ms, train loss:182275.1934,  lr:1.0
step:48/1530, train_time:11402ms, step_avg:237.55ms, train loss:180941.7559,  lr:1.0
step:49/1530, train_time:11640ms, step_avg:237.55ms, train loss:182465.2676,  lr:1.0
step:50/1530, train_time:11874ms, step_avg:237.49ms, train loss:179378.0020,  lr:1.0
step:50/1530 val_loss:5.7783 train_time:11894ms step_avg:237.88ms
step:51/1530, train_time:12113ms, step_avg:237.50ms, train loss:179061.8047,  lr:1.0
step:52/1530, train_time:12348ms, step_avg:237.47ms, train loss:180202.6543,  lr:1.0
