====================================================================================================
Running Python 3.10.12 (main, Jan 26 2026, 14:55:28) [GCC 11.4.0]
Running PyTorch 2.10.0+cu128 compiled for CUDA 12.8
Running Triton version 3.6.0
Sat Feb 21 14:47:17 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:04:00.0 Off |                  Off |
| N/A   35C    P0            119W /  700W |    1185MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A           11644      C   /usr/bin/python3                       1176MiB |
+-----------------------------------------------------------------------------------------+

====================================================================================================
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 248, 249, 250, 251, 745, 746, 747, 748, 1242, 1243, 1244, 1245] for warmup
Resetting Model
step:0/1544 val_loss:10.8298 train_time:0ms step_avg:0.03ms
step:1/1544, train_time:0.2 secs, step_avg:240.87ms, train loss:151.50,  lr:1.00
step:2/1544, train_time:0.5 secs, step_avg:238.17ms, train loss:150.55,  lr:1.00
step:3/1544, train_time:0.7 secs, step_avg:237.81ms, train loss:124.93,  lr:1.00
step:4/1544, train_time:1.0 secs, step_avg:237.73ms, train loss:122.86,  lr:1.00
step:5/1544, train_time:1.2 secs, step_avg:238.37ms, train loss:118.91,  lr:1.00
step:6/1544, train_time:1.4 secs, step_avg:238.06ms, train loss:116.11,  lr:1.00
step:7/1544, train_time:1.7 secs, step_avg:238.07ms, train loss:112.12,  lr:1.00
step:8/1544, train_time:1.9 secs, step_avg:237.79ms, train loss:109.11,  lr:1.00
step:9/1544, train_time:2.1 secs, step_avg:238.18ms, train loss:105.61,  lr:1.00
step:10/1544, train_time:2.4 secs, step_avg:238.36ms, train loss:104.23,  lr:1.00
step:11/1544, train_time:2.6 secs, step_avg:238.44ms, train loss:104.08,  lr:1.00
step:12/1544, train_time:2.9 secs, step_avg:238.45ms, train loss:103.25,  lr:1.00
step:13/1544, train_time:3.1 secs, step_avg:238.54ms, train loss:101.08,  lr:1.00
step:14/1544, train_time:3.3 secs, step_avg:238.49ms, train loss:100.20,  lr:1.00
step:15/1544, train_time:3.6 secs, step_avg:238.68ms, train loss:99.81,  lr:1.00
step:16/1544, train_time:3.8 secs, step_avg:238.71ms, train loss:99.21,  lr:1.00
step:17/1544, train_time:4.1 secs, step_avg:238.84ms, train loss:99.03,  lr:1.00
step:18/1544, train_time:4.3 secs, step_avg:238.86ms, train loss:98.82,  lr:1.00
step:19/1544, train_time:4.5 secs, step_avg:238.97ms, train loss:97.83,  lr:1.00
step:20/1544, train_time:4.8 secs, step_avg:238.85ms, train loss:97.27,  lr:1.00
step:21/1544, train_time:5.0 secs, step_avg:238.92ms, train loss:96.69,  lr:1.00
step:22/1544, train_time:5.3 secs, step_avg:238.94ms, train loss:96.68,  lr:1.00
step:23/1544, train_time:5.5 secs, step_avg:238.93ms, train loss:96.37,  lr:1.00
step:24/1544, train_time:5.7 secs, step_avg:238.77ms, train loss:96.37,  lr:1.00
step:25/1544, train_time:6.0 secs, step_avg:238.79ms, train loss:94.05,  lr:1.00
step:26/1544, train_time:6.2 secs, step_avg:238.82ms, train loss:94.40,  lr:1.00
step:27/1544, train_time:6.5 secs, step_avg:238.90ms, train loss:94.03,  lr:1.00
step:28/1544, train_time:6.7 secs, step_avg:238.86ms, train loss:94.02,  lr:1.00
step:29/1544, train_time:6.9 secs, step_avg:238.86ms, train loss:92.58,  lr:1.00
step:30/1544, train_time:7.2 secs, step_avg:238.88ms, train loss:93.51,  lr:1.00
step:31/1544, train_time:7.4 secs, step_avg:238.92ms, train loss:92.34,  lr:1.00
step:32/1544, train_time:7.6 secs, step_avg:238.89ms, train loss:92.22,  lr:1.00
step:33/1544, train_time:7.9 secs, step_avg:238.90ms, train loss:92.39,  lr:1.00
step:34/1544, train_time:8.1 secs, step_avg:238.89ms, train loss:91.44,  lr:1.00
step:35/1544, train_time:8.4 secs, step_avg:238.87ms, train loss:91.33,  lr:1.00
step:36/1544, train_time:8.6 secs, step_avg:238.80ms, train loss:90.95,  lr:1.00
step:37/1544, train_time:8.8 secs, step_avg:238.82ms, train loss:89.09,  lr:1.00
step:38/1544, train_time:9.1 secs, step_avg:238.75ms, train loss:90.43,  lr:1.00
step:39/1544, train_time:9.3 secs, step_avg:238.76ms, train loss:90.24,  lr:1.00
step:40/1544, train_time:9.6 secs, step_avg:238.76ms, train loss:89.48,  lr:1.00
step:41/1544, train_time:9.8 secs, step_avg:238.78ms, train loss:89.44,  lr:1.00
step:42/1544, train_time:10.0 secs, step_avg:238.75ms, train loss:87.70,  lr:1.00
step:43/1544, train_time:10.3 secs, step_avg:238.74ms, train loss:88.44,  lr:1.00
step:44/1544, train_time:10.5 secs, step_avg:238.73ms, train loss:87.92,  lr:1.00
step:45/1544, train_time:10.7 secs, step_avg:238.74ms, train loss:87.82,  lr:1.00
step:46/1544, train_time:11.0 secs, step_avg:238.71ms, train loss:87.19,  lr:1.00
step:47/1544, train_time:11.2 secs, step_avg:238.69ms, train loss:87.63,  lr:1.00
step:48/1544, train_time:11.5 secs, step_avg:238.68ms, train loss:86.94,  lr:1.00
step:49/1544, train_time:11.7 secs, step_avg:238.70ms, train loss:87.63,  lr:1.00
step:50/1544, train_time:11.9 secs, step_avg:238.69ms, train loss:86.05,  lr:1.00
step:50/1544 val_loss:5.7630 train_time:11955ms step_avg:239.10ms
step:51/1544, train_time:12.2 secs, step_avg:238.70ms, train loss:85.76,  lr:1.00
step:52/1544, train_time:12.4 secs, step_avg:238.68ms, train loss:86.41,  lr:1.00
step:53/1544, train_time:12.7 secs, step_avg:238.74ms, train loss:85.67,  lr:1.00
step:54/1544, train_time:12.9 secs, step_avg:238.73ms, train loss:85.84,  lr:1.00
step:55/1544, train_time:13.1 secs, step_avg:238.75ms, train loss:84.84,  lr:1.00
step:56/1544, train_time:13.4 secs, step_avg:238.71ms, train loss:85.23,  lr:1.00
step:57/1544, train_time:13.6 secs, step_avg:238.75ms, train loss:85.19,  lr:1.00
step:58/1544, train_time:13.8 secs, step_avg:238.76ms, train loss:83.41,  lr:1.00
step:59/1544, train_time:14.1 secs, step_avg:238.78ms, train loss:84.68,  lr:1.00
step:60/1544, train_time:14.3 secs, step_avg:238.78ms, train loss:83.69,  lr:1.00
step:61/1544, train_time:14.6 secs, step_avg:238.78ms, train loss:83.11,  lr:1.00
step:62/1544, train_time:14.8 secs, step_avg:238.78ms, train loss:83.15,  lr:1.00
step:63/1544, train_time:15.0 secs, step_avg:238.81ms, train loss:83.21,  lr:1.00
step:64/1544, train_time:15.3 secs, step_avg:238.80ms, train loss:83.18,  lr:1.00
step:65/1544, train_time:15.5 secs, step_avg:238.82ms, train loss:82.86,  lr:1.00
step:66/1544, train_time:15.8 secs, step_avg:238.78ms, train loss:82.58,  lr:1.00
step:67/1544, train_time:16.0 secs, step_avg:238.79ms, train loss:82.63,  lr:1.00
step:68/1544, train_time:16.2 secs, step_avg:238.76ms, train loss:82.24,  lr:1.00
step:69/1544, train_time:16.5 secs, step_avg:238.77ms, train loss:81.46,  lr:1.00
step:70/1544, train_time:16.7 secs, step_avg:238.79ms, train loss:81.48,  lr:1.00
step:71/1544, train_time:17.0 secs, step_avg:238.81ms, train loss:81.53,  lr:1.00
step:72/1544, train_time:17.2 secs, step_avg:238.78ms, train loss:81.33,  lr:1.00
step:73/1544, train_time:17.4 secs, step_avg:238.79ms, train loss:80.43,  lr:1.00
step:74/1544, train_time:17.7 secs, step_avg:238.79ms, train loss:80.74,  lr:1.00
