====================================================================================================
Running Python 3.10.12 (main, Jan 26 2026, 14:55:28) [GCC 11.4.0]
Running PyTorch 2.10.0+cu128 compiled for CUDA 12.8
Running Triton version 3.6.0
Sat Feb 21 12:17:33 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:04:00.0 Off |                  Off |
| N/A   45C    P0            124W /  700W |    1185MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A            7470      C   /usr/bin/python3                       1176MiB |
+-----------------------------------------------------------------------------------------+

====================================================================================================
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 448, 449, 450, 451, 848, 849, 850, 851, 1188, 1189, 1190, 1191] for warmup
Resetting Model
step:0/1390 val_loss:10.8308 train_time:0ms step_avg:0.02ms
step:1/1390, train_time:0.2 secs, step_avg:246.36ms, train loss:151.52,  lr:1.00
step:2/1390, train_time:0.5 secs, step_avg:242.40ms, train loss:150.60,  lr:1.00
step:3/1390, train_time:0.7 secs, step_avg:240.76ms, train loss:125.07,  lr:1.00
step:4/1390, train_time:1.0 secs, step_avg:239.82ms, train loss:122.97,  lr:1.00
step:5/1390, train_time:1.2 secs, step_avg:240.66ms, train loss:119.19,  lr:1.00
step:6/1390, train_time:1.4 secs, step_avg:240.46ms, train loss:116.56,  lr:1.00
step:7/1390, train_time:1.7 secs, step_avg:240.03ms, train loss:111.99,  lr:1.00
step:8/1390, train_time:1.9 secs, step_avg:239.71ms, train loss:109.40,  lr:1.00
step:9/1390, train_time:2.2 secs, step_avg:240.19ms, train loss:105.82,  lr:1.00
step:10/1390, train_time:2.4 secs, step_avg:240.17ms, train loss:104.25,  lr:1.00
step:11/1390, train_time:2.6 secs, step_avg:240.10ms, train loss:104.22,  lr:1.00
step:12/1390, train_time:2.9 secs, step_avg:239.96ms, train loss:103.54,  lr:1.00
step:13/1390, train_time:3.1 secs, step_avg:240.00ms, train loss:101.47,  lr:1.00
step:14/1390, train_time:3.4 secs, step_avg:240.17ms, train loss:100.57,  lr:1.00
step:15/1390, train_time:3.6 secs, step_avg:240.13ms, train loss:100.10,  lr:1.00
step:16/1390, train_time:3.8 secs, step_avg:240.08ms, train loss:99.56,  lr:1.00
step:17/1390, train_time:4.1 secs, step_avg:240.27ms, train loss:99.47,  lr:1.00
