====================================================================================================
Running Python 3.10.12 (main, Jan 26 2026, 14:55:28) [GCC 11.4.0]
Running PyTorch 2.10.0+cu128 compiled for CUDA 12.8
Running Triton version 3.6.0
Sat Feb 21 14:02:07 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:04:00.0 Off |                  Off |
| N/A   32C    P0            116W /  700W |    1185MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A           10452      C   /usr/bin/python3                       1176MiB |
+-----------------------------------------------------------------------------------------+

====================================================================================================
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 495, 496, 497, 498, 915, 916, 917, 918, 1255, 1256, 1257, 1258] for warmup
Resetting Model
step:0/1457 val_loss:10.8299 train_time:0ms step_avg:0.03ms
step:1/1457, train_time:0.3 secs, step_avg:256.24ms, train loss:151.50,  lr:1.00
step:2/1457, train_time:0.5 secs, step_avg:247.14ms, train loss:150.59,  lr:1.00
step:3/1457, train_time:0.7 secs, step_avg:244.39ms, train loss:124.95,  lr:1.00
step:4/1457, train_time:1.0 secs, step_avg:242.61ms, train loss:122.84,  lr:1.00
step:5/1457, train_time:1.2 secs, step_avg:242.65ms, train loss:119.17,  lr:1.00
step:6/1457, train_time:1.5 secs, step_avg:242.32ms, train loss:116.42,  lr:1.00
step:7/1457, train_time:1.7 secs, step_avg:241.99ms, train loss:111.99,  lr:1.00
step:8/1457, train_time:1.9 secs, step_avg:241.75ms, train loss:109.27,  lr:1.00
step:9/1457, train_time:2.2 secs, step_avg:241.51ms, train loss:105.86,  lr:1.00
step:10/1457, train_time:2.4 secs, step_avg:241.60ms, train loss:104.49,  lr:1.00
step:11/1457, train_time:2.7 secs, step_avg:241.59ms, train loss:104.33,  lr:1.00
step:12/1457, train_time:2.9 secs, step_avg:241.38ms, train loss:103.64,  lr:1.00
step:13/1457, train_time:3.1 secs, step_avg:241.32ms, train loss:101.43,  lr:1.00
step:14/1457, train_time:3.4 secs, step_avg:241.25ms, train loss:100.59,  lr:1.00
step:15/1457, train_time:3.6 secs, step_avg:241.32ms, train loss:100.14,  lr:1.00
step:16/1457, train_time:3.9 secs, step_avg:241.24ms, train loss:99.59,  lr:1.00
step:17/1457, train_time:4.1 secs, step_avg:241.27ms, train loss:99.47,  lr:1.00
