====================================================================================================
Running Python 3.10.12 (main, Jan 26 2026, 14:55:28) [GCC 11.4.0]
Running PyTorch 2.10.0+cu128 compiled for CUDA 12.8
Running Triton version 3.6.0
Fri Feb 20 21:50:41 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:04:00.0 Off |                  Off |
| N/A   25C    P0            112W /  700W |    1185MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A           13134      C   /usr/bin/python3                       1176MiB |
+-----------------------------------------------------------------------------------------+

====================================================================================================
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 495, 496, 497, 498, 991, 992, 993, 994, 1488, 1489, 1490, 1491] for warmup
Resetting Model
step:0/1530 val_loss:10.8310 train_time:0ms step_avg:0.03ms
step:1/1530, train_time:241ms, step_avg:241.33ms, train loss:151.5210,  lr:1.0
step:2/1530, train_time:475ms, step_avg:237.71ms, train loss:150.6052,  lr:1.0
step:3/1530, train_time:712ms, step_avg:237.30ms, train loss:125.0072,  lr:1.0
step:4/1530, train_time:946ms, step_avg:236.57ms, train loss:122.9909,  lr:1.0
step:5/1530, train_time:1186ms, step_avg:237.25ms, train loss:119.3484,  lr:1.0
step:6/1530, train_time:1422ms, step_avg:237.01ms, train loss:116.6363,  lr:1.0
step:7/1530, train_time:1658ms, step_avg:236.91ms, train loss:112.3439,  lr:1.0
step:8/1530, train_time:1895ms, step_avg:236.82ms, train loss:109.4390,  lr:1.0
step:9/1530, train_time:2135ms, step_avg:237.18ms, train loss:106.0461,  lr:1.0
step:10/1530, train_time:2371ms, step_avg:237.11ms, train loss:104.3061,  lr:1.0
step:11/1530, train_time:2609ms, step_avg:237.14ms, train loss:104.3972,  lr:1.0
step:12/1530, train_time:2844ms, step_avg:237.01ms, train loss:103.7813,  lr:1.0
step:13/1530, train_time:3081ms, step_avg:237.03ms, train loss:101.6463,  lr:1.0
step:14/1530, train_time:3321ms, step_avg:237.19ms, train loss:100.8884,  lr:1.0
step:15/1530, train_time:3558ms, step_avg:237.21ms, train loss:100.3605,  lr:1.0
step:16/1530, train_time:3794ms, step_avg:237.12ms, train loss:99.7317,  lr:1.0
step:17/1530, train_time:4031ms, step_avg:237.10ms, train loss:99.5366,  lr:1.0
step:18/1530, train_time:4268ms, step_avg:237.10ms, train loss:99.3578,  lr:1.0
